Input_Text,True_Label,Predicted_Label,Aspect,Review
"1.5-ounce boxes</a [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,1.5-ounce boxes</a,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"sam's club [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,sam's club,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"it [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,it,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"the cherry [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,the cherry,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"this item [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,this item,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"all cherry!--i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,all cherry!--i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"the picture [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,the picture,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"the container [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,the container,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"stretchy [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,stretchy,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"tangy [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,tangy,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"the product features [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,the product features,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"it [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,it,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"the stretchy & tangy variety [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,the stretchy & tangy variety,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"it [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,it,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"just the plain cherry [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,just the plain cherry,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"which [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,which,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"what [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,what,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
